customer_id,last_purchase_date,total_amount,n_purchases
c001,2026-06-10,2400.00,12
c002,2026-05-28,4000.00,1
c003,2026-01-15,1800.00,9
c004,2025-11-02,360.00,4
c005,2026-06-20,80.00,1
c006,2025-08-12,6200.00,2
c007,2026-04-30,950.00,5
c008,2025-03-05,140.00,2
c009,2026-02-18,3200.00,8
c010,2025-12-20,520.00,3
c011,2026-06-25,90.00,1
c012,2025-06-01,7800.00,3
c013,2026-03-10,1280.00,6
c014,2025-09-22,210.00,2
c015,2026-05-05,5400.00,10
c016,2025-10-14,430.00,4
c017,2026-01-30,2750.00,7
c018,2025-07-08,160.00,1
c019,2026-06-02,1120.00,5
c020,2025-12-01,3600.00,2
